Column 1,player,team,defense rating
1,Jordan McRae,CLE,102.1
2,Andre Iguodala,GSW,96.4
3,Tim Frazier,NOP,103.7
4,Jamal Crawford,LAC,112.7
5,Cameron Payne,OKC,103.9
6,Will Barton,DEN,112.4
7,James Harden,HOU,106.9
8,Delon Wright,TOR,95.9
9,Kyle Lowry,TOR,104.4
10,Darren Collison,SAC,107.5
11,Jimmy Butler,CHI,104.5
12,Kentavious Caldwell-Pope,DET,103.9
13,Brandon Knight,PHX,107.5
14,John Wall,WAS,104.1
15,Khris Middleton,MIL,106.4
16,DeMar DeRozan,TOR,106
17,Damian Lillard,POR,107.8
18,Kemba Walker,CHA,103.6
19,Victor Oladipo,ORL,107.8
20,Ty Lawson,IND,106.3
21,Mario Chalmers,MIA,108
22,Rajon Rondo,SAC,107.7
23,Andrew Wiggins,MIN,107.9
24,Nicolas Batum,CHA,103.5
25,Briante Weber,MIA,122.1
26,Pablo Prigioni,LAC,101.4
27,CJ McCollum,POR,104.9
28,Archie Goodwin,PHX,113
29,Evan Turner,BOS,101.5
30,Dion Waiters,OKC,109.2
31,Austin Rivers,LAC,111.4
32,Jeremy Lin,CHA,106.4
33,Russell Westbrook,OKC,103.5
34,Zach LaVine,MIN,111.2
35,Arron Afflalo,NYK,107.2
36,Stephen Curry,GSW,99.8
37,Eric Bledsoe,PHX,104.8
38,George Hill,IND,101.5
39,Devin Booker,PHX,110.3
40,Bradley Beal,WAS,104.8
41,Wesley Matthews,DAL,106
42,Avery Bradley,BOS,104.6
43,Monta Ellis,IND,101.8
44,Marcus Thornton,WAS,105.9
45,Rashad Vaughn,MIL,110.3
46,Joe Johnson,MIA,106.5
47,Klay Thompson,GSW,101.3
48,Tyler Johnson,MIA,106.8
49,Evan Fournier,ORL,106.9
50,Eric Gordon,NOP,105.2
